,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"1 mass flow, kg/h","2 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac
367260,13.0,3517.0,5405.0,0.6593441818411149,0.0649938810912096,0.1492731461063415,0.071314045795311,0.024571997033066,0.0120275954532216,0.0184751526797353,5405.0,0.0,0.6593441818411149,0.0649938810912096,0.1492731461063415,0.071314045795311,0.024571997033066,0.0120275954532216,0.0184751526797353
327078,20.0,3523.0,6896.0,0.5985425016586142,0.1227371510528931,0.0635180411989123,0.1643921374744707,0.0318655154126778,0.0127920866164675,0.0061525665859642,6896.0,0.0,0.5985425016586142,0.1227371510528931,0.0635180411989123,0.1643921374744707,0.0318655154126778,0.0127920866164675,0.0061525665859642
544606,-3.0,4770.0,23593.0,0.6536172081643571,0.0387716385589376,0.1514132434820899,0.1001518404504687,0.0204512372457868,0.0161593854329176,0.0194354466654419,20259.47632205105,3333.523677948938,0.7423070626261618,0.0404128956487847,0.1296795964823756,0.065057402028315,0.0114221408149814,0.0055903921734154,0.0055305102259659
168692,40.0,3501.0,2815.0,0.7097404138239282,0.1056744509398316,0.0624309134755968,0.0776674889027884,0.0150888429046587,0.0115242121015215,0.0178736778516745,2815.0,0.0,0.7097404138239282,0.1056744509398316,0.0624309134755968,0.0776674889027884,0.0150888429046587,0.0115242121015215,0.0178736778516745
293793,33.0,4660.0,6797.0,0.6688513570398781,0.0845323623066551,0.0850966933315503,0.106537405325837,0.0271701261256364,0.0058147435127736,0.021997312357669,6797.0,0.0,0.6688513570398781,0.0845323623066551,0.0850966933315503,0.106537405325837,0.0271701261256364,0.0058147435127736,0.021997312357669
430405,0.0,3917.0,2966.0,0.6165613990552421,0.1584642257860571,0.0846370450400447,0.108290483054722,0.0055912642548483,0.0067525512350362,0.0197030315740495,2793.9872620020924,172.01273799790792,0.6494383254822598,0.1620875875035753,0.0801802542926773,0.0902350347361248,0.0043077578219826,0.003874332094029,0.0098767080693507
575047,-14.0,4120.0,8462.0,0.5639609412515821,0.0636385493813305,0.1620885427798833,0.1462191152252436,0.0262920164316141,0.0138309250655381,0.0239699098648081,5883.375634741687,2578.6243652583125,0.7616032857549575,0.0676698172449919,0.1051894064943903,0.0538389252978596,0.0073933732724712,0.0018594811850852,0.0024457107502438
376900,36.0,4213.0,13769.0,0.6692550099880585,0.0858861475657599,0.1106101877887603,0.0883978720696019,0.0238373270204804,0.0177650474010622,0.0042484081662765,13769.0,0.0,0.6692550099880585,0.0858861475657599,0.1106101877887603,0.0883978720696019,0.0238373270204804,0.0177650474010622,0.0042484081662765
91605,34.0,4500.0,12727.0,0.6681602745147326,0.1417464627309835,0.1089877894242698,0.0372269519537903,0.0168579083856953,0.0158918168108147,0.0111287961797136,12727.0,0.0,0.6681602745147326,0.1417464627309835,0.1089877894242698,0.0372269519537903,0.0168579083856953,0.0158918168108147,0.0111287961797136
3099,-2.0,4153.0,23642.0,0.6247797242672404,0.1062348222865875,0.0757187353660227,0.1444935088614953,0.010389343485181,0.0165962940644773,0.0217875716689957,20559.10046481869,3082.8995351813105,0.7047306762379302,0.1115809347894237,0.0667933970382431,0.0982140846347069,0.0061085440774788,0.0060482331132821,0.0065241301089349
595785,23.0,4735.0,3155.0,0.7429304145963327,0.1055210953641833,0.067729648865975,0.0378560481920066,0.0226387673882095,0.0164149403387508,0.0069090852545417,3155.0,0.0,0.7429304145963327,0.1055210953641833,0.067729648865975,0.0378560481920066,0.0226387673882095,0.0164149403387508,0.0069090852545417
544871,31.0,4568.0,11299.0,0.7162345148793754,0.0612112372996329,0.0611349481388382,0.1042254276656002,0.0308057756509668,0.008720341955825,0.0176677544097614,11299.0,0.0,0.7162345148793754,0.0612112372996329,0.0611349481388382,0.1042254276656002,0.0308057756509668,0.008720341955825,0.0176677544097614
392583,8.0,4065.0,4926.0,0.7143791637322628,0.0765514780162293,0.073942805605458,0.0940185397899864,0.0163224892528361,0.0151802109262168,0.0096053126770103,4926.0,0.0,0.7143791637322628,0.0765514780162293,0.073942805605458,0.0940185397899864,0.0163224892528361,0.0151802109262168,0.0096053126770103
341954,-7.0,4273.0,20537.0,0.6022810631336468,0.1002504855343241,0.1369997527730573,0.1188856030316245,0.0203321739243155,0.0156936960208836,0.0055572255821481,17065.048160962288,3471.9518390377107,0.702678410582591,0.1045501615612343,0.1103964703414745,0.0673990150889612,0.0095831540808556,0.0042017710957291,0.001191017249154
273493,37.0,3933.0,6614.0,0.6838952182402412,0.1292561923654522,0.0670819818596464,0.0626266677894078,0.026406558683453,0.0195369477420408,0.0111964333197581,6614.0,0.0,0.6838952182402412,0.1292561923654522,0.0670819818596464,0.0626266677894078,0.026406558683453,0.0195369477420408,0.0111964333197581
38843,37.0,4424.0,23463.0,0.6840323943370402,0.077559931581802,0.0958037838243764,0.0996002802995325,0.0187104037120957,0.0128990667174726,0.0113941395276805,23463.0,0.0,0.6840323943370402,0.077559931581802,0.0958037838243764,0.0996002802995325,0.0187104037120957,0.0128990667174726,0.0113941395276805
324646,-15.0,3771.0,16026.000000000002,0.79481737717635,0.0390775961326586,0.037769152243347,0.0885042349398616,0.012364784026993,0.0219399308127247,0.0055269246680646,15171.910464841108,854.089535158885,0.8344316897000552,0.039811280387412,0.0350909175254331,0.0694727761854641,0.0087083805349351,0.0103324740962298,0.0021524815704704
67586,-7.0,3636.0,9699.0,0.7067982253775061,0.0354762726494311,0.1116367867722421,0.0862861827917262,0.0301229355195831,0.0220086374460431,0.0076709594434677,8841.47519380434,857.5248061956604,0.7672519143493826,0.0367747334591961,0.1016978540668873,0.0633046242590966,0.0194046483410785,0.0089963064861915,0.0025699190381671
474337,15.0,3511.0,9036.0,0.6979577215973446,0.0550446482173975,0.093460632119488,0.1190603060461285,0.0227623264361918,0.0075585706222401,0.0041557949612091,9036.0,0.0,0.6979577215973446,0.0550446482173975,0.093460632119488,0.1190603060461285,0.0227623264361918,0.0075585706222401,0.0041557949612091
166798,-1.0,3813.0,18990.0,0.5967337321102433,0.1528739213223408,0.1245818126036482,0.081937819619387,0.0112059124444042,0.008762619156437,0.0239041827435394,17440.78050881964,1549.2194911803554,0.6424843396180099,0.1576827234632867,0.1150101732847322,0.0632406947552455,0.0077768839331731,0.0041682830414314,0.009636901904121
106790,43.0,3580.0,21228.0,0.6434204766205991,0.1022162900836746,0.0647867747264846,0.1542609331224301,0.0159561110777064,0.0079520953294421,0.0114073190396628,21228.0,0.0,0.6434204766205991,0.1022162900836746,0.0647867747264846,0.1542609331224301,0.0159561110777064,0.0079520953294421,0.0114073190396628
444295,2.0,4254.0,9792.0,0.7904581135296807,0.0586095231224928,0.0464948848554083,0.0550832388442775,0.0120073785456584,0.0136887043988483,0.0236581567036338,9792.0,0.0,0.7904581135296807,0.0586095231224928,0.0464948848554083,0.0550832388442775,0.0120073785456584,0.0136887043988483,0.0236581567036338
55585,12.0,4344.0,1750.0,0.6762661557994426,0.1242994632455312,0.0366152455623899,0.084589534924745,0.0357542901437202,0.022872553557348,0.0196027567668229,1733.974243091253,16.025756908746967,0.681816671361966,0.1248852818068408,0.0364655007201243,0.0829677303485775,0.0347241190874022,0.0212922085547833,0.0178484881203058
13172,42.0,4310.0,18592.0,0.623393255286986,0.0519554991766627,0.1463420257055686,0.1178370659868241,0.032259963151892,0.0231208993241295,0.0050912913679369,18592.0,0.0,0.623393255286986,0.0519554991766627,0.1463420257055686,0.1178370659868241,0.032259963151892,0.0231208993241295,0.0050912913679369
27329,-16.0,4858.0,7101.0,0.5782322519886445,0.1374105439317843,0.1579044761951892,0.071504722136112,0.0209108286531325,0.0177854175373351,0.0162517595578022,5345.341566394991,1755.6584336050091,0.7189333306355389,0.1374149633880297,0.1032048387125481,0.0287542709809698,0.0066400260610656,0.0029498908626231,0.0021026793592249
580714,13.0,4735.0,7837.0,0.5527007848469013,0.1221994887293889,0.1508798952205641,0.120239810675345,0.0241099841022472,0.0219040133353026,0.0079660230902508,7160.910167435594,676.0898325644068,0.5959174777519697,0.1263642467016276,0.1425456416614128,0.0995332950644406,0.01853148749432,0.0129118960117247,0.0041959553145044
35135,48.0,4546.0,18158.0,0.6180955093989877,0.1435583579478413,0.0672532852160807,0.117472758999176,0.0261734804673484,0.0222082678307703,0.0052383401397954,18158.0,0.0,0.6180955093989877,0.1435583579478413,0.0672532852160807,0.117472758999176,0.0261734804673484,0.0222082678307703,0.0052383401397954
550396,34.0,4578.0,22721.0,0.5926725387752324,0.1033613066000605,0.1903904537254425,0.0744552464433302,0.0047741361036855,0.0157023656206198,0.0186439527316289,22721.0,0.0,0.5926725387752324,0.1033613066000605,0.1903904537254425,0.0744552464433302,0.0047741361036855,0.0157023656206198,0.0186439527316289
74616,27.0,3780.0,12956.0,0.6565854650566872,0.0879944118899047,0.1039101550857645,0.0936431936468376,0.0379945238012071,0.0071561587594228,0.012716091760176,12956.0,0.0,0.6565854650566872,0.0879944118899047,0.1039101550857645,0.0936431936468376,0.0379945238012071,0.0071561587594228,0.012716091760176
556086,16.0,4021.0,17624.0,0.7066111619359606,0.0745507522101146,0.0971617008621557,0.0579504181739458,0.0314034301562436,0.0203533031519133,0.0119692335096662,17624.0,0.0,0.7066111619359606,0.0745507522101146,0.0971617008621557,0.0579504181739458,0.0314034301562436,0.0203533031519133,0.0119692335096662
241091,28.0,4383.0,14692.0,0.7377081834911747,0.0685592605459456,0.0704568196608061,0.0554548836081623,0.0358182462343281,0.0167771232262784,0.0152254832333042,14692.0,0.0,0.7377081834911747,0.0685592605459456,0.0704568196608061,0.0554548836081623,0.0358182462343281,0.0167771232262784,0.0152254832333042
514930,-11.0,3628.0,4831.0,0.6266652986857193,0.1426485926854284,0.0675031782594074,0.1078273556040237,0.0311107796217038,0.0066446631697432,0.0176001319739739,4197.480620645256,633.5193793547444,0.7079555268366303,0.1486024145969017,0.0567015441119045,0.0652697267058232,0.0156855699900049,0.0018732623170095,0.0039119554417255
28672,26.0,3721.0,2738.0,0.588796576895843,0.0892367474689018,0.0948816775410452,0.1581310521344253,0.0335889493821796,0.0102520582166927,0.025112938360912,2737.9999999999995,0.0,0.588796576895843,0.0892367474689018,0.0948816775410452,0.1581310521344253,0.0335889493821796,0.0102520582166927,0.025112938360912
141797,-2.0,3981.0,1666.0,0.7803203424886697,0.0257272471379837,0.0405520496839473,0.1041157883822344,0.0140872313708701,0.0142299462800318,0.0209673946562628,1606.6123643220865,59.38763567791334,0.806189673241112,0.0261711331068273,0.0394662309124495,0.0934758327438673,0.0119949789194933,0.0097745091363675,0.0129276419398829
147170,30.0,4691.0,8694.0,0.6236436142973171,0.1290824274445012,0.1275462340644908,0.0794740843140228,0.0070440521787124,0.0143036594939691,0.0189059282069863,8694.0,0.0,0.6236436142973171,0.1290824274445012,0.1275462340644908,0.0794740843140228,0.0070440521787124,0.0143036594939691,0.0189059282069863
