,"4 temperature, C","4 pressure, kPa","4 mass flow, kg/h",4 Methane mass frac,4 Ethane mass frac,4 Propane mass frac,4 i-Butane mass frac,4 n-Butane mass frac,4 i-Pentane mass frac,4 n-Pentane mass frac,Q-104,"5 temperature, C","5 pressure, kPa","5 mass flow, kg/h",5 Methane mass frac,5 Ethane mass frac,5 Propane mass frac,5 i-Butane mass frac,5 n-Butane mass frac,5 i-Pentane mass frac,5 n-Pentane mass frac,"16 temperature, C","17 temperature, C"
741575,-30.0,2104.0,10224.0,0.6181234948266627,0.1241560413636823,0.0632182239559848,0.1430000512406179,0.0290332754125973,0.0080819232255836,0.014386989974871,530.7526270270649,-31.0,3680.0,8153.0,0.1555955179317835,0.0441088085174773,0.1513112672815189,0.045070722647501,0.4182887412642684,0.0839546782990406,0.1016702640584102,-31.62420904634999,46.04832057685667
589362,1.0,2061.0,1128.0,0.6796797768931737,0.0528690481282301,0.146372359404022,0.0841095193300168,0.0082664797711189,0.0079177900156133,0.020785026457825,1479.901394112546,-9.0,4222.0,24411.0,0.1081957565600185,0.0087467265838685,0.1313591905457546,0.4154600425205428,0.267498013182301,0.0428238071518496,0.0259164634556646,-12.284256501834136,75.64990309999894
606944,-17.0,2279.0,6140.0,0.602930118755314,0.0874252596920031,0.0958961714039309,0.1444352933169205,0.0301951748773821,0.0177227061606245,0.0213952757938247,331.8873707911135,-37.0,3781.0,3990.0,0.1105322689881996,0.0468046496826447,0.0687971701421468,0.3488081795757335,0.3558870991438074,0.0291748635428154,0.0399957689246526,-19.56549705116697,58.99479104227527
696176,-39.0,2569.0,19276.0,0.5958133052461478,0.141171755312437,0.1105299668469987,0.0809769956177674,0.0289030389266798,0.0215283088834561,0.021076629166513,327.20425785096904,-25.0,4621.0,2227.0,0.0998688300688755,0.0619419367136182,0.1473513739952166,0.3625089969999752,0.2767328465962275,0.0425326765634023,0.0090633390626843,-43.756413666149285,23.67708442240837
185247,-30.0,2242.0,11592.0,0.6628978878810335,0.1089706616649667,0.0369526667819604,0.1129730257892275,0.0311547440528743,0.0234315959350219,0.0236194178949153,973.6435091267472,-8.0,3711.0,19686.0,0.1280897389508768,0.1196354384838999,0.0318220284491632,0.4039420794881276,0.2161813814466125,0.0580658999328075,0.0422634332485121,-28.75388923433704,54.8144469916931
293648,-38.0,2632.0,4461.0,0.6285664056291776,0.1142894073427666,0.1084218618188452,0.1143152326656785,0.0053960480968954,0.0148219193154997,0.0141891251311364,250.84885001198904,-42.0,3854.0,4740.0,0.0563218612337346,0.0790283424247289,0.0150692073657503,0.3503074459805229,0.4544002512786615,0.0141869381648822,0.0306859535517193,-43.10704634935041,22.986030277768293
677918,-40.0,2777.0,8014.999999999999,0.681957831439427,0.1096112818439778,0.1086526655393783,0.0666975578435577,0.0114009021399288,0.0132695308186378,0.0084102303750921,526.4507901074064,-21.0,4516.0,7696.000000000001,0.1085034034461466,0.074776684084485,0.1096895430686365,0.3685572400210458,0.237431830518834,0.0034955022687142,0.0975457965921378,-45.75143236767889,56.92215974536356
589599,-32.0,2393.0,23666.0,0.7719503302333991,0.0658174983562915,0.0593520247793326,0.0617012134306699,0.0234465952588909,0.0118158683471124,0.0059164695943034,1198.995467191802,-16.0,4851.0,22850.0,0.2074194043025944,0.0880652664944738,0.164727267750355,0.324204317898442,0.1031739703948125,0.0757841494174366,0.0366256237418854,-33.78777395363136,54.511683464285625
192303,-19.0,2085.0,3018.0,0.5422919120157599,0.1331658153793516,0.0946979062563727,0.154811976190935,0.0358936855096786,0.0238035788846507,0.0153351257632514,1210.2493381468146,-26.0,3654.0,20510.0,0.1232405029621577,0.0523581198675707,0.1263030839418166,0.214411057815834,0.4458610654541087,0.0267804520773519,0.0110457178811604,-27.07985081254435,56.89056048524128
744737,-29.0,2303.0,22379.0,0.6725294219346653,0.0416810299062649,0.0537489859243351,0.1595396829979765,0.0431604090510285,0.0208019898694245,0.0085384803163048,525.1294829416344,-10.0,4523.0,4082.0,0.0736840709112215,0.1110894667126696,0.0267643006484416,0.1670429314823112,0.4680056582252238,0.0448548938660673,0.1085586781540647,-31.17416588457345,62.320657347271776
578574,-49.0,2045.0,22178.0,0.5963848429065458,0.1597121626037262,0.065926479965469,0.1214213087120218,0.0285566544073678,0.0160668839286201,0.011931667476249,1849.3966038076696,-18.0,4863.0,23519.0,0.0378835908686238,0.0082670086879028,0.1080651431582314,0.3524425396950017,0.3950966657580794,0.0475217707544666,0.0507232810776942,-49.39645221662502,65.44761116344245
153732,-23.0,2632.0,1118.0,0.5523337529967782,0.1374758207766018,0.111030967011104,0.1299747241644417,0.0336786373524416,0.0208270432918495,0.0146790544067827,1126.8704023578257,-34.0,3917.0,17027.0,0.14270513265526,0.0232843208868838,0.1142857321223898,0.3733824411603667,0.1355423588355278,0.0837181720248567,0.127081842314715,-40.52527493570807,63.77737180014623
55635,-21.0,2708.0,21301.0,0.5639976922029537,0.0790539343585607,0.1276962393582379,0.1524647812488032,0.0419871993547912,0.0160633904002784,0.0187367630763746,691.4559604532398,-43.0,4746.0,4762.0,0.1168606793121118,0.0587055046066069,0.1232339945307301,0.253720158796225,0.4059950599075545,0.0201904516080717,0.0212941512386998,-26.285584242022907,57.99548791964736
558809,-39.0,2227.0,16121.0,0.6103230769260927,0.1104126425536957,0.1224125442399238,0.1149375372483304,0.0172705672435874,0.0142906632229235,0.0103529685654463,853.2082705721907,-34.0,3938.0,10161.0,0.1027423613946843,0.0176708297478709,0.2063399053015945,0.5098999359860893,0.1012733972371633,0.0522402904361284,0.009833279896469,-40.93426426700731,50.06056603678224
183895,-18.0,2073.0,7532.000000000001,0.7968377121179903,0.0212802183452066,0.1124438563895899,0.0469078487390996,0.0094644893058347,0.0059766676763477,0.0070892074259306,582.6290310863421,-47.0,4135.0,13736.0,0.0914105903693029,0.1132463668363841,0.1558930097194165,0.1224990478367437,0.4042000881998713,0.0315849443799463,0.081165952658335,-21.92963262431704,14.816277229239065
17439,-31.0,2632.0,17910.0,0.6329910739237647,0.0868271601463749,0.122696161433889,0.1177469588334204,0.0070306073189322,0.0190957552274432,0.0136122831161751,819.2022527539211,-9.0,4128.0,10707.0,0.0812908732191558,0.0630693609257487,0.1489872961712722,0.1465493307340656,0.4975845991252683,0.0022873074397691,0.0602312323847198,-35.800126635573804,61.99938006080862
79333,-15.0,2290.0,4343.0,0.6281814627342694,0.0420177282128876,0.1554187480937767,0.1269157113929655,0.0251618241788635,0.0098920071458017,0.0124125182414352,513.311301533638,-7.0,4775.0,12897.0,0.1132448526568898,0.1865323426140429,0.1759786398877991,0.0744431291126475,0.1639954901217464,0.1220795577421616,0.1637259878647126,-17.697584487514717,37.94204402152639
523257,-32.0,2445.0,10593.0,0.6165774624785102,0.1057470725977097,0.1188212378565594,0.1130540856887212,0.0194140516520783,0.0129062914370918,0.0134797982893291,856.9937973777975,-5.0,4826.0,13445.0,0.1249064721254739,0.0773474347552442,0.0614957662145671,0.1985351856371009,0.4309062685144597,0.0668874946044391,0.0399213781487148,-34.17244875137234,66.82883882514216
192925,-43.0,2258.0,11686.0,0.6740778477080206,0.1142764103703705,0.070272292805767,0.1057694707970136,0.0085469318876426,0.0142678935572671,0.0127891528739183,531.5375581444039,-7.0,4238.0,8093.000000000001,0.0698767526125511,0.0610412573296701,0.0495021774962648,0.5262418890489158,0.1764410190680281,0.0344887047833276,0.0824081996612421,-45.06347458540762,58.1034510174124
642332,-35.0,2068.0,19844.0,0.6289814856393865,0.1013364571818686,0.1310392296882395,0.0954664840652709,0.0233196082703849,0.005777164327618,0.0140795708272313,1857.404441128052,-17.0,4888.0,24379.0,0.1310660095307527,0.021491006231974,0.0403505484694552,0.4834172146750261,0.1998325981114394,0.0285835209969656,0.0952591019843868,-36.260585994038536,74.01637702189333
673862,-36.0,2334.0,3251.0,0.7365897693045216,0.0213094006237976,0.090520113906848,0.1063942647620056,0.0104630378144175,0.017625687383487,0.0170977262049224,243.01683157696567,4.0,4865.0,4395.0,0.1259859634942892,0.0802927874586028,0.1137918997062278,0.195295724725366,0.4291098595162479,0.0219304486158384,0.0335933164834277,-33.52709332836707,67.28807220385625
466777,-44.0,2023.0,13264.0,0.6957852179913778,0.132221296804075,0.0656132365292102,0.0480528348209711,0.0236667853178529,0.0138884477450324,0.0207721807914802,368.78028347217605,0.0,3607.0,5554.0,0.1499081873734296,0.0764798585244892,0.0867865804333511,0.3293382730015131,0.2573727752853573,0.0261907741319916,0.0739235512498681,-43.35116286960803,64.66671547011691
501354,-18.0,2702.0,10707.0,0.6491870247751477,0.1258612231348248,0.0917666914152684,0.1100583598481361,0.004275287376271,0.0130270014511558,0.0058244119991957,830.9239071225898,-15.0,4531.0,13825.0,0.1339576715532606,0.0257775809732938,0.1142097967211249,0.5211642368712336,0.16030403910404,0.0115499316117504,0.0330367431652966,-24.458443270416808,63.47129028578741
88406,-24.0,2106.0,4787.0,0.6402691860827484,0.1215131921615438,0.0677143539005536,0.1218545633279313,0.012184276856234,0.0166353174845338,0.0198291101864548,706.8574067017198,-31.0,4206.0,20155.0,0.0884040450220945,0.0915739431939555,0.0929882225986275,0.3894674465347245,0.2198143708368942,0.0551726118583084,0.0625793599553953,-26.92247483267369,16.259321817294733
746111,-41.0,2309.0,22729.0,0.6543227743785146,0.0449581445495414,0.1135711932343909,0.1474990986308285,0.0238053898121555,0.010305276509841,0.0055381228847278,758.3820349523802,-5.0,3717.0,6507.0,0.0760224640161389,0.0128570463115724,0.0830465588081896,0.3576378149161537,0.3715793809181338,0.0389663948182293,0.0598903402115819,-43.33233093489165,63.72039030780769
479019,-16.0,2796.0,19118.0,0.6347842745886446,0.029275697038,0.1785412201923098,0.0867460024051949,0.0261087338499248,0.0257485448737705,0.0187955270521553,1039.231323266037,-17.0,4284.0,21405.0,0.1417102395990735,0.1058271706707556,0.0975531726258212,0.2793414978565209,0.20276038747686,0.1147628101407474,0.0580447216302212,-21.868876303266035,38.82915982784255
