,"4 temperature, C","4 pressure, kPa","4 mass flow, kg/h",4 Methane mass frac,4 Ethane mass frac,4 Propane mass frac,4 i-Butane mass frac,4 n-Butane mass frac,4 i-Pentane mass frac,4 n-Pentane mass frac,Q-104,"5 temperature, C","5 pressure, kPa","5 mass flow, kg/h",5 Methane mass frac,5 Ethane mass frac,5 Propane mass frac,5 i-Butane mass frac,5 n-Butane mass frac,5 i-Pentane mass frac,5 n-Pentane mass frac,"16 temperature, C","17 temperature, C","16 mass flow, kg/h","17 mass flow, kg/h"
649892,-37.0,2210.0,4949.0,0.665152191185237,0.0853497010359955,0.0885027007671665,0.1113516061902699,0.0337396290416795,0.0075388995209278,0.0083652722587232,348.116697259754,-13.0,4886.0,5221.0,0.1220301592281667,0.0545880553745556,0.0795853657752179,0.1892158876788719,0.4897523513263443,0.0536031745460045,0.0112250060708387,-38.170067397642725,61.748439258959024,4750.896783141533,5419.103216858466
180355,-18.0,2468.0,10885.0,0.6449621367181093,0.1324383584503499,0.0506206925282617,0.1248947948913889,0.0315894133323761,0.0091795644485662,0.0063150396309477,666.2207108288551,-10.0,4653.0,17578.0,0.1237956104321284,0.1037901646098692,0.2451957582824448,0.0581637816345071,0.2488965841150285,0.0864026655049941,0.1337554354210277,-21.101644246920785,33.21780026809358,12466.247769531265,15996.75223046874
104875,-38.0,2549.0,9719.0,0.699123158927768,0.0486999659031499,0.0485751932386278,0.1414521924224798,0.0205276823404376,0.021235640435845,0.0203861667316916,449.7403208454039,-8.0,4477.0,11793.0,0.133058171281854,0.0909411173037464,0.0677389013654121,0.2444662107731884,0.4294841368993679,0.0195539650259019,0.014757497350529,-39.49564537154927,31.51566226757518,9423.67708939951,12088.32291060049
482061,-26.0,2769.0,22856.0,0.6676932386870861,0.1217385618468286,0.0776847756023818,0.0755596421571831,0.0365475139926295,0.0131438046226206,0.00763246309127,265.7467812496785,1.0,4093.0,5197.0,0.0797111736261936,0.1279939804012745,0.1576771395818595,0.0679487366711464,0.5092798843449493,0.0088054920281297,0.0485835933464465,-31.89655841902021,31.98858441954775,20276.273792121243,7776.726207878762
55973,-5.0,2750.0,24931.0,0.7394387443942813,0.1245657647920835,0.0275650342476528,0.0652413032240877,0.01166900037433,0.0112401721738893,0.0202799807936753,409.770633349621,-11.0,4318.0,6797.0,0.1164855339291159,0.0312379809654847,0.1397373347811856,0.3675808710609151,0.2866060667446045,0.0114606895273281,0.0468915229913658,-10.328175478751008,70.37760588848965,25683.3697296985,6044.630270301497
423880,-38.0,2337.0,13386.0,0.7112461805928543,0.0504457898008022,0.1273654690392129,0.0767618780185991,0.0163280881831826,0.0127031546973037,0.0051494396680451,286.5320781360648,-2.0,3712.0,5716.0,0.11138223368328,0.0643546871847835,0.1257598752694804,0.0639824299869425,0.5996722557172727,0.0159844455365924,0.0188640726216482,-40.5057370840172,40.13519533167568,11933.86643916642,7168.133560833579
477533,-6.0,2397.0,22310.0,0.6722709231799735,0.0602498671649297,0.1093114236156283,0.1386560809612306,0.0041219871208859,0.0103299124333155,0.0050598055240362,227.9921025518275,-7.0,4303.0,5053.0,0.1155592887756499,0.1180519234377468,0.0946365299861626,0.1511273646288546,0.4491658327440808,0.0279164708816853,0.0435425895458196,-9.293132587404273,43.369253806302936,22435.14633737868,4927.853662621325
610564,-34.0,2379.0,22975.0,0.6791535572041427,0.1448543205750353,0.0823037174130316,0.0594066600456584,0.01521871789497,0.0128036803468119,0.0062593465203499,1035.1506975979523,-23.0,4388.0,17367.0,0.2161490389992223,0.052623007874474,0.1509629943311586,0.0883846012570937,0.3413858117883367,0.0776627591735244,0.07283178657619,-37.89735583892022,57.53595801997409,24920.03171535587,15421.968284644128
474437,-33.0,2381.0,5369.0,0.6630935459577327,0.0324535815455488,0.068479639935775,0.166154065306377,0.0358531677546969,0.0134809847175557,0.0204850147823135,298.07420330512247,-37.0,3640.0,3637.0,0.0860258328078093,0.0958679391079835,0.1451750187296581,0.2839295371041174,0.3249016954331388,0.0545933304954019,0.0095066463218909,-35.70685707934081,49.20676655502717,4407.492857959023,4598.507142040976
643773,-48.0,2431.0,18851.0,0.7140516788373426,0.0905585124315411,0.0530110468759239,0.0891159696214058,0.0220299760939273,0.0189069507909467,0.0123258653489124,1252.1859057557049,-32.0,4424.0,15761.999999999998,0.0668310757345696,0.0647386899789872,0.1554056928535717,0.0648738356064484,0.6124821399847389,0.023685745855094,0.0119828199865897,-51.49493547007023,58.51282028569983,16556.960522988276,18056.03947701171
284854,1.0,2443.0,5669.0,0.6630383734210972,0.1443036644530455,0.0710242018231318,0.0752178049472007,0.0057103287840795,0.024076247352061,0.016629379219384,233.09826456375464,-50.0,4890.0,3279.0,0.0908722133131512,0.0584758840829949,0.0621244152355526,0.3152201260039258,0.3795122312774894,0.0235748174330184,0.0702203126538673,-4.295391429076631,56.12874589684702,5927.207782955189,3020.7922170448087
602716,-2.0,2246.0,16510.0,0.569780714225369,0.120890453410911,0.0880001068024644,0.1342571178693658,0.0429754597049423,0.0248418001579258,0.0192543478290215,1229.333579035629,-32.0,4523.0,16733.0,0.0585358868263622,0.0428781753898344,0.0455744922427523,0.3418341911393344,0.4494057800688121,0.0126043316344717,0.0491671426984326,-4.643538265199425,65.73378389550368,15775.990309693978,17467.00969030601
703491,-16.0,2742.0,21745.0,0.6417561749142,0.0701620376831153,0.1607932700511053,0.0597952785552841,0.0181554461751082,0.0237747161400021,0.0255630764811845,1313.3510631650945,-46.0,4617.0,20010.0,0.2091230348226702,0.1556165325455778,0.0184528023915205,0.2244982815903034,0.2874279306271661,0.0799882299294833,0.0248931880932786,-25.17694250358269,33.44606473216862,23371.22540050908,18383.774599490924
82696,-33.0,2018.0,18890.0,0.6802874146951727,0.1246286879554003,0.0754650889212413,0.0736263067358113,0.0288846815951674,0.0104014180300278,0.0067064020671788,520.8720133367516,-13.0,4416.0,7786.000000000001,0.0761345190061071,0.0902751542919973,0.0601853231994006,0.2310225769396995,0.4677593670920629,0.0291969124730062,0.0454261469977261,-33.08937039395357,54.51020186057184,17401.4233178386,9274.576682161394
594901,-5.0,2698.0,5398.0,0.6886010809086213,0.042293141795978,0.0851649983671349,0.1024401616634173,0.0392613316287265,0.021823923798111,0.0204153618380107,690.7550480965671,-20.0,4879.0,11499.0,0.1874101024819385,0.0289316381191176,0.122813494350648,0.5092544423165917,0.0971725003290367,0.0241596505434209,0.0302581718592463,-15.691070490910136,66.24794180513413,7344.935374817609,9552.06462518239
287243,-27.0,2101.0,4897.0,0.619083625534129,0.144821611138876,0.1118660446568311,0.0850293381135471,0.0213245478291806,0.0079688639858269,0.0099059687416091,372.3005696717439,-36.0,3669.0,7169.0,0.1326212690127728,0.0747765182959528,0.1395077821242345,0.4798494687110157,0.0758419851463428,0.0168665447298059,0.0805364319798751,-30.195668804392,30.402410866929927,5240.855978026329,6825.144021973671
421232,-50.0,2353.0,14673.000000000002,0.6010688670214844,0.121198759466002,0.1183437957424383,0.1228359203635032,0.0150910181545445,0.0043782146305653,0.017083424621462,481.59001117345457,-23.0,4654.0,7176.0,0.0944941449145526,0.1125953930163361,0.1888323856802549,0.4766112390894763,0.0208616971281059,0.0695922876430271,0.0370128525282468,-53.02230957586289,22.484161084882032,11052.814108986951,10796.185891013043
76455,-46.0,2423.0,4997.0,0.5566235616624944,0.1216015073419785,0.1677429066237953,0.0981128492669338,0.042400117856812,0.0060639226910329,0.0074551345569526,407.6312854148858,-20.0,4698.0,5182.0,0.0470570551511657,0.023639625102369,0.077158579389897,0.3205452204274508,0.4460878702189196,0.0131257295881115,0.0723859201220861,-49.52733818864084,57.21379465086608,3590.1001438707854,6588.899856129215
458189,-4.0,2232.0,7849.999999999999,0.5313969723524695,0.164532793464533,0.1602631753425264,0.0817060308057215,0.0355208978005178,0.0090585645344233,0.0175215656998084,416.3625698680327,-40.0,4379.0,5368.0,0.1755638921790144,0.0191619233170356,0.0953058251185187,0.6229298765174346,0.0338983679259986,0.0205563112779408,0.0325838036640573,-9.862297846843605,63.17782997345057,8227.560208217667,4990.439791782335
452002,-45.0,2656.0,23056.0,0.7057812328428178,0.065124763510145,0.1454693723816764,0.040754387769062,0.00509611972474,0.02011282093247,0.0176613028390885,585.8628611173915,-7.0,4669.0,6999.0,0.1135567362413712,0.0174764615904458,0.1175428620887616,0.3463016611393732,0.3829077051157742,0.0060996099124437,0.0161149639118301,-50.19240551664868,48.88690885306556,19644.427359918365,10410.572640081638
629098,-6.0,2550.0,1996.0,0.6376365932863525,0.1305975042297291,0.0521133198449887,0.1162712431028284,0.0341058408009723,0.022722147590453,0.0065533511446758,910.2814198313624,-45.0,4632.0,20077.0,0.0601594832720937,0.0512827513989715,0.157071653206246,0.4281316207860641,0.2434242906001212,0.0359183521714189,0.0240118485650844,-17.810539053102303,23.971380860096247,2660.9459403733085,19412.054059626687
585071,-21.0,2710.0,5271.0,0.6214548829945008,0.1316030653332215,0.1143015648898135,0.1009080132954299,0.0075411158168636,0.010179764570157,0.0140115931000133,1200.2140392536928,-30.0,3694.0,24529.0,0.1201256274555285,0.0123268753731146,0.11434836815383,0.5058856893145699,0.0987660778806514,0.0648051290730244,0.0837422327492809,-31.909196783042347,39.11302974450723,7352.706169142921,22447.29383085707
412261,-1.0,2162.0,7471.000000000001,0.6754521855971563,0.0586635479148934,0.1197589674948557,0.0928705762263052,0.0131019675306443,0.0228558876540236,0.0172968675821215,454.48511219773707,-49.0,4737.0,6246.0,0.0933716040919132,0.0544263111271543,0.0596539326374362,0.3045742325969074,0.3975236379789916,0.05602808051199,0.0344222010556069,-4.704848885262948,57.95210332541336,7858.643242134529,5858.356757865473
457101,-23.0,2153.0,17031.0,0.6802829071018617,0.1235971710346149,0.0732463846175828,0.0784288446985728,0.0138914846370661,0.0135937441047626,0.016959463805539,1124.9670721548437,-6.0,4551.0,19642.0,0.1282334306870756,0.0774501180621473,0.1272460025283519,0.0932802103179437,0.436557796612728,0.0633995985887289,0.0738328432030245,-23.45205700787937,67.49627612749748,19020.47568469232,17652.524315307695
665915,-5.0,2691.0,22967.0,0.6747109473989917,0.0602955410336405,0.0933342004318792,0.098851474627619,0.0360364824630951,0.015921746409008,0.0208496076357662,1272.5315299910887,-33.0,4370.0,21523.0,0.0778526894224943,0.0519415649094737,0.0857438297359317,0.3975417051506683,0.2788987396069743,0.0297302853844294,0.0782911857900281,-10.777221679543004,47.4015553501913,22885.96510738921,21604.0348926108
39823,-26.0,2119.0,3760.000000000001,0.6614337001820909,0.1137130316481425,0.0670510416716565,0.1077246923631505,0.0185796755148959,0.0173209498704461,0.0141769087496173,146.47114648835213,-28.0,4681.0,1808.0,0.1565096282184549,0.0249749045811249,0.1265211144629632,0.1783479380617978,0.4136975729326533,0.0368574055950576,0.063091436147948,-27.52046248960076,63.212126928505256,3592.951024377131,1975.0489756228685
