,"1 temperature, C","1 pressure, kPa","1 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac,"3 temperature, C","3 pressure, kPa"
220135,5.0,3863.0,21700.0,0.7365522484892578,0.0340069598058918,0.1425519981944067,0.0523242685315958,0.005012082089941,0.0219561842861507,0.0075962586027561,-16.239133362383484,2314.0
269646,24.99999999989308,4463.0,2620.0,0.6574179982645638,0.1474249183032799,0.0280163769659966,0.1240967767300647,0.0115027915802221,0.012747447666895,0.0187936904889775,-9.503135999537108,2059.0
159315,-13.0,3539.0,10951.14526328748,0.7298496881048313,0.1288697004759703,0.0561033907866696,0.0703084372583226,0.0083572129605819,0.0030400531065856,0.0034715173070383,-32.96919842345605,2078.0
433874,40.0,3863.0,12606.0,0.5812311295487461,0.1152425213235096,0.101565190812918,0.138353693402269,0.0240317992341808,0.0148909951210649,0.0246846705573112,15.566177348150802,2429.0
469039,49.0,4052.0,22599.0,0.7686377614930627,0.0766218085303868,0.0504653145679941,0.0482815989322545,0.0315769470962,0.015187102989289,0.0092294663908125,12.640534035796009,2079.0
221126,46.0,4643.0,2373.0,0.7603813727413355,0.0650686432620656,0.0393321561356737,0.1009560914604269,0.0206409270547971,0.0070020445161593,0.0066187648295416,1.117546720522057,2026.0
183238,6.999999999803663,4615.0,5974.0,0.7200320880947988,0.1099359204346428,0.0611997308772596,0.0637375695194183,0.0243323560290203,0.013815583667225,0.0069467513776347,-23.704131313128727,2217.0
119925,17.0,4645.0,18179.0,0.7107971760012629,0.0965484061406186,0.0822902669684622,0.0850497230804424,0.0150358003969716,0.0049678086186155,0.0053108187936268,-13.805483994722069,2500.0
228952,-17.0,4569.0,18192.10734103955,0.8111893166875617,0.0323498500459954,0.0984610330981803,0.0485907137985643,0.0020938779961551,0.004406572283239,0.0029086360903041,-48.07761535583148,2004.0
542682,4.0,3646.0,5326.030319922908,0.6048369281720309,0.1356876149800886,0.1442099193288256,0.1025822394445484,0.0032361703586684,0.0046131902353271,0.0048339374805109,-11.20869563482347,2381.0
223187,2.0,4201.0,18907.562739695088,0.6791742754827735,0.1294652952544006,0.0548570985300959,0.112334120178236,0.0106360409963893,0.0058068706751029,0.0077262988830014,-20.43389330935892,2297.0
87890,7.0,4536.0,22985.715527286426,0.6348997696997768,0.1204090491702424,0.1077812344570489,0.1135616449168849,0.0124382452742648,0.0078010264246702,0.0031090300571119,-15.055673435868698,2457.0
317942,11.0,4650.0,11798.0,0.7156378775388195,0.0823361493208016,0.0803973452107588,0.0567380402493854,0.0321131560718893,0.0189254650185556,0.0138519665897894,-15.683515483924111,2414.0
598607,23.99999999981196,3939.0,2357.9999999999995,0.669768124822424,0.0947303601084786,0.0714763620574374,0.080656790818288,0.0384372005951791,0.0233501337441404,0.0215810278540521,-3.6981939000783086,2055.0
439859,18.0,3816.0,19040.0,0.6769594701670631,0.076240981299849,0.105039267430971,0.1090331165325636,0.0146102102411209,0.010001709328365,0.0081152450000672,-3.1084079528333746,2485.0
136626,-3.0,3666.0,7197.3278198051385,0.7152105598193802,0.0600137210288608,0.1552624787560603,0.042431619615156,0.0076352257958631,0.0130250969871619,0.0064212979975175,-25.110356603138968,2032.0
392995,19.999999999718625,4712.0,8777.0,0.6381664182857192,0.1059760761771973,0.0766601262911449,0.1277729536526649,0.0167087862077291,0.018407108721946,0.0163085306635983,-7.777085802807619,2291.0
84330,-13.0,4834.0,879.3589902554442,0.7125107174363164,0.1433525044203145,0.0928520499165341,0.0370066961927252,0.0065702907573922,0.004425052195123,0.0032826890815945,-37.743217096740125,2552.0
487780,32.0,4704.0,16917.0,0.6158604447914813,0.0405172601609908,0.15026210900842,0.1259688899337788,0.0325594269658792,0.0194941527163208,0.0153377164231288,-0.5480773954201368,2091.0
410061,19.0,3927.0,21370.0,0.6423530622495537,0.0874006910968786,0.1123256683285439,0.0889128741619624,0.0295542621282104,0.0173133125542831,0.0221401294805676,-1.923149037520318,2305.0
402064,38.0,4698.0,23394.0,0.6252274157283433,0.028888638401101,0.1781085654158343,0.1151799403109155,0.0083274149122091,0.0209165302500822,0.0233514949815142,4.104633597495365,2223.0
295072,19.99999999994742,4509.0,12763.999999999998,0.7050483056343435,0.0903520134305965,0.0989124185898434,0.0637057008884623,0.0103827344438498,0.0080022561122279,0.023596570900676,-11.521862696708126,2285.0
594125,3.0,4881.0,22940.445785047723,0.7128456345241715,0.1043062283156313,0.0536041317760172,0.1001122987880074,0.0082638144093693,0.0080128666048904,0.0128550255819127,-26.42357186634345,2266.0
584718,49.0000000000087,4122.0,5916.000000000001,0.6369117211314237,0.0930161764338143,0.1242760817223863,0.0901627006450076,0.0322362771992328,0.0153009756716219,0.0080960671965131,16.946039674881774,2258.0
456103,-9.0,3597.0,7933.584735749874,0.70706960947147,0.1681839157082115,0.0472683739247405,0.0475296290001664,0.0149638838843519,0.006035406823094,0.0089491811879656,-30.025147875221137,2117.0
449105,-24.0,4527.0,18148.87829277316,0.7765826645198187,0.118046132572211,0.0540806125165595,0.0467274651689138,0.002043228655627,0.0012359976241831,0.0012838989426868,-47.369536048618926,2493.0
309293,2.0,3968.0,13318.768848302932,0.6388672878945624,0.1528276759257799,0.0899936252648189,0.0922995915573753,0.0152769290770234,0.0050249298825621,0.0057099603978779,-20.782492575457667,2114.0
543595,7.0,4810.0,4336.360133728793,0.7092408825825983,0.0891464512376824,0.0578081876681074,0.0910082242367686,0.0288317505328433,0.0137554184921033,0.0102090852498964,-25.48839196454773,2009.0
500970,-2.0,4462.0,13810.12380932198,0.7111107561690523,0.0889484178174765,0.0961204083183428,0.0698027439419869,0.0261619264393204,0.0040855335016187,0.0037702138122023,-23.584806775073417,2497.0
330644,-5.0,4036.0,8092.40941206973,0.7814974053592697,0.0364556129002868,0.0608762340344666,0.1012862443412671,0.0070298428687963,0.0068974699241139,0.0059571905717991,-24.24245781332482,2437.0
23723,10.0,4818.0,8601.232509402078,0.6939730864891004,0.0478615435213184,0.0848250203157778,0.1279383943708445,0.0344854313853017,0.0051546617595359,0.005761862158121,-18.627142133300623,2142.0
534405,21.99999999924512,4061.0,4432.0,0.6854052380872538,0.1381080851628001,0.056647608072664,0.0708726922643759,0.017221948218774,0.0178485103503656,0.0138959178437663,-2.4253197398123234,2551.0
587026,13.999999999840554,4759.0,19933.0,0.7306918194373464,0.0778518819514563,0.071048541948631,0.0683158170428888,0.0187444244750714,0.0213501459626367,0.011997369181969,-17.253565167550562,2302.0
12253,23.0,4202.0,17982.0,0.5544542826056206,0.1658680440025922,0.0924662072343915,0.1250007289917204,0.0377392577088928,0.0113862098639829,0.0130852695927994,2.845925299636633,2512.0
21376,-5.0,3535.0,5641.277815301786,0.7286153999989398,0.075652670679411,0.0861721734821975,0.0767529012581352,0.0247675358325375,0.0040675617339413,0.0039717570148374,-18.00081185790495,2492.0
119907,23.0,3601.0,18324.0,0.6352739703649889,0.087584908723155,0.1311360335826444,0.1183944014737733,0.0067186272847656,0.0063130905591977,0.0145789680114749,-1.0202466082689623,2204.0
404848,-2.0,3736.0,5962.0031590662165,0.7273672045992179,0.0317946868640501,0.1268138580561645,0.0996055448196129,0.0059979066467085,0.0025533163902067,0.0058674826240391,-18.938829374391844,2339.0
464545,-12.0,3608.0,816.8919499928915,0.8019580602888783,0.0310930384148526,0.0668763562780419,0.0848334160605955,0.0070977312904241,0.0054852671718912,0.002656130495316,-29.49429183106156,2267.0
7282,40.00000000000762,3742.0,18184.0,0.6524703984397109,0.0757141461992504,0.1099434018365764,0.123775458819858,0.0181047907550337,0.0060598834933063,0.013931920456264,16.26909714474408,2395.0
285570,44.99999999999392,4120.0,1967.0,0.6745717192879555,0.0351836896473684,0.1212233901847402,0.1238005252824682,0.0135657961321671,0.0174672943992806,0.0141875850660195,7.551042472839185,2020.0
185267,41.0,3892.0,5773.0,0.7158393055284354,0.1285368526087465,0.0681446551322884,0.0439293416121195,0.0218917638170282,0.0172432703584931,0.0044148109428887,15.29751611664608,2434.0
