,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,feed_gas molecular weight,"feed_gas molar flow, kgmol/h","feed_gas H2S molar flow, kgmol/h","feed_gas CO2 molar flow, kgmol/h",lean_amine molecular weight,"lean_amine molar flow, kgmol/h","lean_amine H2S molar flow, kgmol/h","lean_amine CO2 molar flow, kgmol/h","rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,"rich_amine molar flow, kgmol/h","sweet_gas temperature, C","sweet_gas mass flow, kg/h",sweet_gas molecular weight,"sweet_gas molar flow, kgmol/h",rich_amine H2O mol frac,rich_amine MDEAmine mol frac
180601,43.0,232305.0,0.0171221294006525,0.6621224880900584,0.1450598900598294,0.0145562900288381,0.096057075695215,0.0418135740906266,0.0034047343305801,0.0074925395832263,0.0123062497547374,6.502896623576859e-05,0.0,28.0,634910.0,0.0031923623592659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002165481912467,0.9880908102283414,0.0085002792211458,25.59993799675569,9074.436040799797,111.67227630147272,155.3736681285189,18.96153344315917,33484.10622501943,7.250922638540326,106.89340034641303,35.03085925819647,644224.7008529586,19.09585773501928,33736.35841827286,28.665451356860217,222990.2991470412,25.276088438018625,8822.18384754636,0.9805229201668312,0.008436718989395
159572,34.0,198272.0,0.01252793441249,0.5598334020576798,0.1849045733882238,0.0069904391042358,0.0717544664484136,0.0897178487414261,0.0276052863927353,0.0072760128665931,0.0384763196311617,0.0009137169570401,0.0,23.0,218006.0,0.0017117619725336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001918458479043,0.7437054340986899,0.2543909580808722,28.63071443937007,6925.1502759343075,266.45429551067605,86.75782845354203,43.79411747695415,4977.974498851853,0.9550037385782166,8.521107447376608,51.98976985172322,230386.05800854287,43.257301262762645,5325.94617054548,30.71281334206003,185891.94199145708,28.263173797895952,6577.17860424068,0.6956368190883274,0.2377678714312815
74933,39.0,284536.0,0.0168149570925939,0.5019466262223887,0.1862249782688532,0.0679107328052364,0.0699292747440702,0.0960858107722384,0.0453571066913565,0.0041867120566931,0.0097474625576076,0.0017963387889618,0.0,47.0,157028.0,0.0037984587570186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002930563196846,0.8179997885587509,0.1779086963645458,30.97551221075268,9185.836801149899,89.53860027950262,154.45945167090554,36.11392174684968,4348.129264407514,1.274246759740173,16.516189681037563,40.38867594861165,162604.74978019635,36.11058996008768,4502.965749380449,44.73695175107338,278959.250219802,30.88907545713532,9031.000316176927,0.7910607357930124,0.1717821927851943
74754,60.0,209682.0,0.0051465481119309,0.6593316458258734,0.1600386096474458,0.0177761440458241,0.0171945170761253,0.0736288156991096,0.0436828604140594,0.0055874054011825,0.0173032081095585,0.0003102456688901,0.0,34.0,26228.0,0.0022688850559718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002004291242185,0.7797821572974717,0.2177485285223379,25.829306776595818,8117.987904731337,140.4672341464451,41.779615323772944,40.10241147480347,654.0255070815174,0.1310857596009089,1.4839086992416335,58.36401155186451,28320.74117213343,40.2459104959367,703.6923956532861,61.06739383903084,207589.25882786667,25.728929031467416,8068.321016159571,0.6946692653665245,0.2023327409877955
200458,18.0,163486.0,0.0372362014244354,0.6142084990552319,0.1434150341423784,0.0942225312867533,0.0357637440293411,0.0255877468572176,0.0082741993041281,0.0037262952916853,0.0367359431277225,0.0008298054811058,0.0,17.0,372166.0,0.0016361228649703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001601895167679,0.8260752381433146,0.1721284494749471,25.658456974414182,6371.622430882074,234.06755925220483,237.25501623677562,35.470914958573736,10492.145478475826,1.6807317140555493,17.16643911992905,34.72894243804791,390376.2422565574,35.57781187163983,10972.463502392577,17.969176459367645,145275.7577434428,24.65935346536877,5891.30440696533,0.7902223160112475,0.164593448039776
330040,12.0,226212.0,0.0261232320407518,0.7042209056110924,0.083546543174265,0.0761280933225828,0.0110402189922115,0.0370900167362412,0.0494929900174702,0.0042842374703361,0.0077306266328261,0.0003431360022222,0.0,23.0,450140.0,0.0031725171867455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002155137301992,0.9900610197574452,0.0065509493256097,25.263714604015227,8954.0276853843,69.22024489569411,233.90814292460985,18.76382920120128,23989.772832252256,5.170125429710111,76.10796661644055,18.037488092281706,454335.5522502389,18.84416879545847,24110.140233924027,24.470800609161245,222016.44774976108,25.13300722681337,8833.660283712523,0.9850191928623502,0.0065182437259953
83865,14.0,246615.0,0.0060643157614574,0.6974769833129136,0.1235102053179393,0.027664512341823,0.058296662991278,0.0507408973494696,0.0015432801637033,0.0007858962070353,0.0336716053073321,0.0002456412470481,0.0,33.0,504593.0,0.0033255937780169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002790435637357,0.8143477557423907,0.1820476069158565,24.047862673984213,10255.17333258878,345.30814881320697,62.190609277295756,36.52004922247204,13816.876229441295,3.8555103827583808,45.94931762025958,33.24619519923357,518479.7248304872,36.45130089976013,14223.901809603156,33.22099665914374,232728.2751695118,23.63167988743468,9848.1477524269,0.7906813402486539,0.1768378833782916
436844,28.0,122645.0,0.0072279773435402,0.5314496515081127,0.1650722640119692,0.0831138417378268,0.0725507486664435,0.088477625016951,0.0426544857793926,0.0009172066779119,0.0073230046939296,0.0012131945639223,0.0,22.0,134076.0,0.0022967136435036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000195842900229,0.9378071529155074,0.0597002905407598,30.247379978615136,4054.7313548052716,29.69281674386253,29.307506366674563,24.11672214203739,5559.461987012519,1.0887811592494108,12.768492196111286,28.753803870734657,136032.4846741346,24.215772527619084,5617.515795499977,-37.82024152488856,120688.51532586648,30.19721104021952,3996.677546317838,0.9286354556193402,0.0590826682221901
384800,41.0,219385.0,0.0114214121336944,0.693356090949064,0.0968405163034311,0.0672920058928008,0.0575979351545552,0.0071308344583998,0.022020332191698,0.0089245404527492,0.0337434861236941,0.0016728463399131,0.0,33.0,360537.0,0.0044440930372474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000263570288115,0.8061030735905065,0.189189263084131,24.68041780534857,8889.031041948423,299.9468956170727,101.52528699929589,37.27124313700959,9673.329077719816,2.549602132045819,42.98917440129745,51.96445900231453,373623.9321889659,37.16510771337312,10053.083528519543,33.26528386170287,206298.067811034,24.243902005209723,8509.276591148695,0.7764730694429033,0.1820422039396521
74638,20.0,19704.0,0.0355842596137149,0.6468610702608175,0.0651458140581298,0.0473071276235175,0.0560254359198479,0.0635561023651765,0.0487464493957819,0.0002006640619846,0.0352835697114495,0.0012895069895796,0.0,56.0,608519.0,0.0025239634213603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003464972997744,0.8056953313010816,0.1914342079777836,27.69627866979493,711.4313166370915,25.10183645547312,25.315756668541272,37.44973540810907,16248.95325343837,5.630218426476847,41.01176364707189,56.60107425971353,611838.1089759954,37.43471153909402,16344.138469907466,55.42368858467268,16384.891024004737,26.58822671581684,616.2461001679992,0.8009706576859225,0.1903192111353335
