,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"feed_gas molar flow, kgmol/h","feed_gas H2S molar flow, kgmol/h","feed_gas CO2 molar flow, kgmol/h","lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,"lean_amine molar flow, kgmol/h","lean_amine H2S molar flow, kgmol/h","lean_amine CO2 molar flow, kgmol/h","rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,rich_amine H2S mol frac,rich_amine CO2 mol frac,"rich_amine molar flow, kgmol/h","rich_amine H2S molar flow, kgmol/h","rich_amine CO2 molar flow, kgmol/h"
164,51.0,201156.0,0.0291056308581241,0.5312020037779841,0.190801675533108,0.0061783219520012,0.0881990978544692,0.0697631154558112,0.0433501873106934,0.0008820342384447,0.0390574364741235,0.0014604965452402,0.0,6808.971070616886,265.9409550447637,198.17939850502114,42.0,297230.0,0.0043283280305297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745996492552,0.946775903881089,0.048621168439126,12894.920231495847,3.5409405727425423,55.813444689428,60.11204160284359,311291.1077374625,23.437463335947324,0.0202807882764188,0.0121280360098333,13281.774707249066,269.36486077281256,161.0818419240098
505342,30.0,273881.0,0.0256530615960742,0.7034353560706109,0.0714286082286492,0.0385839744149517,0.062193358243577,0.0237971414365323,0.0366649006523564,0.0033086806891993,0.0341520758907909,0.0007828427772576,0.0,10815.28262139995,369.36435286640307,277.44511126572377,46.0,207220.0,0.0033000953430107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002521233761375,0.8648799085049897,0.1315678727758619,6596.6308110061345,1.6631648312035212,21.76951061896224,46.22163155181471,223809.98321464664,31.7296015569068,0.0525685189350417,0.0158341116055028,7053.6651023885415,370.8007274963549,111.6885204590605
161769,57.0,279869.0,0.0100602917481528,0.6394614493484647,0.1428566387463342,0.0928160658892333,0.0338615071937237,0.0049560764232883,0.0358428209057576,0.0060174432392203,0.0331641853750951,0.0009635211307295,0.0,10969.195259887503,363.7844250145236,110.35330455692306,21.0,234180.0,0.0048091840429988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001741021927306,0.8004665631955916,0.1945501505686789,6191.709529270307,1.0779902057969115,29.77707066705037,70.67570053428324,248973.92641853684,37.6302928693461,0.0550108789316989,0.0108220977416349,6616.316468303459,363.96938421164725,71.60242350956867
373121,53.0,98036.0,0.007876110717432,0.7149827362104867,0.1153579170408148,0.0095315529508518,0.0766706398170661,0.000599229727369,0.042532189120898,0.0089869769005436,0.0230604241506051,0.0004022233639326,0.0,3967.863942260766,91.50062548042534,31.251335720952007,27.0,401980.0,0.0026375987026076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000217060055055,0.7919217062471432,0.2052236349951941,10348.203675211511,2.246181659461764,27.294408588057077,37.59244453107869,406839.22624737263,38.77998548644686,0.0089339941633154,0.0045047092800668,10490.958703157794,93.72616382159462,47.25871902691247
78274,15.0,62666.99999999999,0.0138662829753175,0.804471518934406,0.0326203702829515,0.0148930669691675,0.0706664599060268,0.0085375139424743,0.0486915588348801,0.00289781403137,0.0018425953018328,0.0015128188215731,0.0,2658.7999440494823,4.899092285418887,36.86767239894846,29.0,650104.0,0.0035882401949495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001940761477947,0.8100668889341812,0.1861507947230745,17598.658632106904,3.415479873673253,63.14821428092098,28.55104075453216,652860.8308902896,36.91460027494793,0.0004694232475358,0.0052513072406343,17685.707715311582,8.302082350690517,92.87308498115762
490535,15.0,94497.0,0.0399628614143701,0.5673001503765305,0.1627175576171281,0.055607311235314,0.0946138239091783,0.0170535781571881,0.0493752109723493,0.0009288007379897,0.0112403113001257,0.0012003942798254,0.0,3289.2067909513275,36.971708260780396,131.44611514999292,15.0,118606.0,0.0040516392185634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002257818706146,0.8841269391274345,0.1115956397833874,4032.577593543694,0.9104829124688174,16.33854952990165,21.82232452199446,125337.16500422431,29.842446194157223,0.0090162005448014,0.0321381571885138,4199.962837790548,37.867707226232774,134.97906586682913
90435,43.0,79642.0,0.02253397056758,0.6801529704709779,0.1162918918007718,0.0135059784022683,0.0561399691028129,0.0435480859815353,0.0224267795772574,0.0039410744744423,0.0397194944702829,0.0017397851520706,0.0,3175.849742860528,126.1431462999981,71.56450463267565,43.0,327094.0,0.0038576472405699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003935222168833,0.8285585864985974,0.1671902440439492,9336.76115089741,3.67422294661102,36.017930889619635,50.72125823587061,334322.2510150503,35.04543157184983,0.013602534083178,0.009180731577489,9539.681379857622,129.76384111217183,87.58125408324271
49961,30.0,237415.0,0.0142862920412188,0.7093310623834799,0.0611168330258521,0.0389320069576076,0.0978383506270927,0.02748815966282,0.0325046834464535,0.0045971831864321,0.0135852177561484,0.0003202109128945,0.0,9133.811072543787,124.08481236402672,130.48829243167847,38.0,301775.0,0.0024804023021056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002798745828384,0.8843713853597529,0.112868337755303,10229.413324952306,2.862952787002597,25.3730603604014,41.97776619506021,311503.6769556936,29.71454652615201,0.0121031279189643,0.0135492325850097,10483.204806155689,126.87956876960365,142.03938015489496
374471,21.0,253276.0,0.028755713276417,0.5335752770096696,0.1264688849864456,0.0817430330510315,0.0681676150982724,0.0865221782927955,0.0301231600468393,0.0083360209553129,0.035557186656244,0.0007509306269717,0.0,8379.87093639504,297.96463504063263,240.9691659403558,58.0,171944.0,0.0032598806254975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001085911205699,0.8776943944460124,0.1189371338079201,5706.344670198766,0.6196583620949605,18.602002432791878,24.840588879331392,186055.3970206476,30.50836891137613,0.0489549489523446,0.0170295266976154,6098.503579824952,298.5519314360213,103.85462952813211
169795,10.0,188660.0,0.0349101946427166,0.5697905010035093,0.0899813264805138,0.0729634212422866,0.089210172294886,0.0532467909551222,0.0458938447966735,0.0046389972128807,0.0382581474993337,0.0011066038720771,0.0,6320.177146735397,241.79826950172082,220.63861436898196,25.0,399373.0,0.0016552870173911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002928799808046,0.8511764443509293,0.1468753886508748,12131.903562429758,3.5531916824876855,20.081782463130814,23.878294195480407,417202.34238292207,33.086482008933885,0.0194554098673424,0.0174903200439975,12609.450054867444,245.32201901922923,220.54331703843343
