,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,feed_gas molecular weight,"feed_gas molar flow, kgmol/h","feed_gas H2S molar flow, kgmol/h","feed_gas CO2 molar flow, kgmol/h",lean_amine molecular weight,"lean_amine molar flow, kgmol/h","lean_amine H2S molar flow, kgmol/h","lean_amine CO2 molar flow, kgmol/h","rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,"rich_amine molar flow, kgmol/h","rich_amine H2S molar flow, kgmol/h","rich_amine CO2 molar flow, kgmol/h"
105404,38.0,290380.0,0.0365680033487999,0.6339794987013384,0.1373271054616746,0.0617135677220114,0.0298819395551486,0.0348171021615287,0.0483694178774254,0.0096419715643424,0.0076765056000749,2.488800765555599e-05,0.0,30.0,307380.0,0.0035187278630525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001508643129409,0.9488345324837106,0.0474958753402958,26.839006033000896,10819.327647341057,83.05462927385881,395.64120963973113,22.913307115321384,13414.912061928633,2.0238314913854554,47.20342485270734,45.65294939998648,317240.2546766881,23.22282992924984,13660.70610873805,85.01765676398736,202.55733359815721
385764,33.0,42259.0,0.025982965738862,0.763811340271979,0.0115683636596347,0.0499115191912815,0.0709625407541007,0.0068738538665581,0.0266126262663477,0.0088510007991636,0.0337492449862133,0.001676544465859,0.0,27.0,400411.0,0.0020980047573751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001124024128661,0.9484115895047496,0.0493780033250091,24.20919563510115,1745.5763767189464,58.911884780034285,45.355251190855256,23.066132532991865,17359.260353996735,1.9512227493600622,36.41981080719811,29.87054915339224,404724.2005585523,23.145906099262977,17485.779075697526,60.859249163322175,76.27782191341537
479560,21.0,115836.0,0.0389063253487384,0.7363764871015325,0.1102139103676433,0.0029751522603188,0.0489553903736819,0.0087919422424113,0.0376111387855404,0.0046809108361477,0.0107543105820263,0.000734432101959,0.0,50.0,83560.0,0.0040749893865065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002807079894356,0.8574680012801177,0.1381763013439402,23.75866997569747,4875.52544475291,52.432914883444695,189.68877919960917,32.10204026905192,2602.949821870241,0.7306688110989485,10.606992897730217,37.044572791022176,91133.27416644795,32.74725252223985,2782.928861117617,52.9926842376956,143.7728596664145
362872,56.0,15373.999999999998,0.0123680641048195,0.6638924062476379,0.0421761032392721,0.0947525706884595,0.0878707578870526,0.0157552534169919,0.0442000937329159,0.0079913367143163,0.0296346547341763,0.0013587592343575,0.0,38.0,138872.0,0.0044213964209746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002619684289965,0.8644655260305432,0.1308511091194856,27.464667036665475,559.7737623935374,16.588702177783322,6.923317777479269,31.36981181340439,4426.931242879171,1.1597162229725797,19.573217953166605,41.4765432807128,139952.76842510144,31.38439391060254,4459.310854425053,17.743862112650945,25.768882903381648
336249,42.0,296616.0,0.0149223185127638,0.8504250117816922,0.0143282667884443,0.0054779002100125,0.0413441303418468,0.0222845460561726,0.0199562652174419,0.0074072922555019,0.0224865938567864,0.0013676749793372,0.0,47.0,251552.0,0.0040518478721772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000225726978614,0.8180247108355119,0.1776977143136968,21.43592255997433,13837.333064164382,311.15448867494615,206.48509135065882,36.09808620792955,6968.5688751206535,1.5729939974445457,28.235580968777885,56.86598223030956,264617.24160873133,36.07399598517555,7335.4014264866755,311.19508336107873,80.97017735936744
160123,43.0,112660.0,0.0085356879358631,0.6916229048984261,0.0724664624375203,0.0802294952869825,0.0095065070076285,0.0923864981683667,0.0231786544133802,0.0087452527197975,0.012936674243399,0.0003918628886359,0.0,11.0,182907.0,0.0013167110910239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002037820625312,0.9386396671486832,0.0598398396977616,25.86172860801233,4356.243996973053,56.355309513602805,37.18353933063894,24.10549018654796,7587.773514851444,1.5462521368760402,9.990905543182297,36.6642651827986,186569.93093948063,24.261638801486143,7689.914620608906,57.89332947765675,43.8379171282935
400650,51.0,194142.0,0.0347877331369905,0.5505256535227107,0.1141174377318757,0.061351616852981,0.0894269524009219,0.0776955450906855,0.0376553482557993,0.0010162848542638,0.0321697597252269,0.0012536684285443,0.0,35.0,512651.00000000006,0.0018559298624247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001508055424607,0.751503113143883,0.2464901514512316,30.122703187033498,6445.039105373837,207.33535943956764,224.208300455213,42.99805109251778,11922.656654761919,1.798002704394046,22.12761452500922,55.1406233951235,529931.1381605081,42.82484708899659,12374.38482989163,209.07853647813218,218.06170347748167
274622,57.0,195167.0,0.0096769527327191,0.726154664579168,0.0949799080411791,0.0096408640822173,0.0420516949046268,0.0808706175684678,0.0056221449240501,0.003182767911905,0.0274590672032615,0.000361318052405,0.0,17.0,87622.0,0.0018009422773729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002369530933707,0.7746266853363168,0.2233354192929394,24.07885150145573,8105.3284450963465,222.56475847840764,78.43488024636095,40.65593985226147,2155.207832321851,0.5106831627254236,3.881404901753626,60.36555734277681,95204.32334008228,40.25366943553013,2365.1091856994694,196.57244293362976,26.106217866431166
94015,42.0,135800.0,0.0100844268688061,0.6297771075608134,0.1966849513225326,0.0462975542058998,0.0202818741803619,0.0544282260555443,0.0093955660576436,0.0012474581972024,0.0298981269105373,0.0019047086406579,0.0,42.0,207922.0,0.0029433281130055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001979740092118,0.8080820909682952,0.1887766069094873,24.66658375753593,5505.423910131516,164.60186276141857,55.519044803497806,37.18943801916864,5590.888463892094,1.1068506042527197,16.455819192451735,55.54611264746211,215250.63868462224,37.0918893863112,5803.172667824808,165.66341009991825,44.00882850146133
410054,21.0,4558.0,0.0387955932179335,0.6177811240687078,0.1503518434018348,0.0789158235569198,0.0388137406117107,0.0214076572044012,0.0194661674581643,0.0066939216083268,0.026452895482802,0.0013212333891987,0.0,30.0,674649.0,0.0047655302709806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003231009715989,0.8361470075775369,0.1587643611798834,25.93233654433732,175.76511056792148,4.649496099376364,6.818911731498186,34.20312261752612,19724.7779842856,6.37309493129527,93.99902657248474,29.75984809973255,676353.3754673421,34.18136349535958,19787.197066002445,11.021734816899935,100.79416281795397
